Iteration;clasp_isd;clasp_noisd;wasp_isd;wasp_noisd
0;2062;2062;3448;3448
1;1802;1802;3214;3214
2;1555;1555;2443;2443
3;1970;1970;3858;3858
4;1256;1256;1664;1664
5;1167;1167;2322;2322
6;1153;1153;1383;1383
7;894;894;2524;2524
8;869;869;1241;1241
9;832;832;438;438
10;583;583;292;292
11;470;470;40;40
12;433;433;184;184
13;280;280;45;45
14;282;282;295;295
15;284;284;220;220
16;219;219;466;466
17;214;214;277;277
18;138;138;132;132
19;123;123;37;37
20;54;54;21;21
21;43;43;24;24
22;29;29;5;5
23;21;21;24;24
24;33;33;13;13
25;14;14;3;3
26;9;9;3;3
27;0;0;0;0
28;0;0;0;0
29;0;0;0;0
30;0;0;0;0
31;0;0;0;0
32;0;0;0;0
33;0;0;0;0
34;0;0;0;0
35;0;0;0;0
